s_country_id,s_lat,s_lon,s_country,e_country_id,e_lat,e_lon,e_country,data_2014,data_2015,data_2016,data_2017,data_2018,rank_2014,rank_2015,rank_2016,rank_2017,rank_2018,data_tot_2014,data_tot_2015,data_tot_2016,data_tot_2017,data_tot_2018
1,51.083742,10.195313,Europäische Union,2,33.362954,102.832031,China,91434,120171,161076,225990,323932,1,1,1,1,1,403000,426000,475000,543000,663000
1,51.083742,10.195313,Europäische Union,3,22.399263,114.13147,Hongkong,45661,39171,42252,45237,106672,2,2,2,2,2,,,,,
1,51.083742,10.195313,Europäische Union,4,23.674042,45.087891,Saudi-Arabien,33820,36953,36796,32779,31714,3,3,3,3,3,,,,,
1,51.083742,10.195313,Europäische Union,5,64.679065,99.84375,Russland,26087,20421,18579,25552,27364,4,5,5,4,4,,,,,
1,51.083742,10.195313,Europäische Union,6,28.872898,2.724609,Algerien,22023,23178,22338,22570,20831,5,4,4,5,5,,,,,
1,51.083742,10.195313,Europäische Union,7,39.176633,35.551758,Türkei,15774,18396,16219,17191,14009,6,6,6,6,6,,,,,
1,51.083742,10.195313,Europäische Union,8,32.960128,43.461914,Irak,3030,6496,7686,11353,11526,10,9,9,7,7,,,,,
1,51.083742,10.195313,Europäische Union,9,29.892726,69.960938,Pakistan,5664,7712,9608,9034,10063,9,8,8,9,8,,,,,
1,51.083742,10.195313,Europäische Union,10,26.012032,29.619141,Ägypten,10742,13063,15257,10767,4021,8,7,7,8,9,,,,,
1,51.083742,10.195313,Europäische Union,11,27.073474,17.753906,Libyen,8093,6440,6356,3986,6986,7,10,10,10,10,,,,,
