s_country_id,s_lat,s_lon,s_country,e_country_id,e_lat,e_lon,e_country,data_2012,data_2013,data_2014,data_2015,data_2016,data_2017,rank_2012,rank_2013,rank_2014,rank_2015,rank_2016,rank_2017,data_tot_2014,data_tot_2015,data_tot_2016,data_tot_2017
2,52.261882,5.559082,Niederlande,1,33.362954,102.832031,China,21051,25164,33608,57721,79063,87866,1,1,1,1,1,1,123000,180000,225000,303000
3,-41.950231,173.056641,Neuseeland,1,33.362954,102.832031,China,16324,19747,10487,14483,24071,47374,2,3,5,5,3,2,,,,
4,46.936261,2.592773,Frankreich,1,33.362954,102.832031,China,15764,22554,16381,15715,15047,43004,3,2,3,4,5,3,,,,
5,53.160825,-7.866211,Irland,1,33.362954,102.832031,China,4205,7636,17308,24704,32618,37953,5,5,2,2,2,4,,,,
6,51.083742,10.195313,Deutschland,1,33.362954,102.832031,China,1759,2108,4830,17491,21695,28601,9,8,7,3,4,5,,,,
7,56.109627,9.404297,Dänemark,1,33.362954,102.832031,China,4896,11177,12442,10865,13308,20910,4,4,4,6,6,6,,,,
8,-25.281788,134.824219,Australien,1,33.362954,102.832031,China,3975,6795,4546,10708,12001,12427,6,6,8,7,7,7,,,,
9,46.913251,8.195801,Schweiz,1,33.362954,102.832031,China,1339,2039,3011,3082,5273,6737,10,9,9,10,9,8,,,,
10,36.359965,127.880859,Südkorea,1,33.362954,102.832031,China,3255,4932,5788,7320,8386,5398,7,7,6,8,8,9,,,,
11,39.792781,-99.316406,USA,1,33.362954,102.832031,China,2006,1986,2327,4587,4278,4606,8,10,10,9,10,10,,,,
